word, pTrump, act1, act2, act3
handle: realDonaldTrump
"wow",0.67,0.28,-0.19,-0.21
",",0.71,0.26,-0.26,-0.29
"just",0.75,0.31,-0.37,-0.36
"announced",0.78,0.45,-0.49,-0.45
"that",0.79,0.38,-0.52,-0.44
"lyin",0.81,0.47,-0.60,-0.52
"'",0.87,0.70,-0.84,-0.85
"ted",0.88,0.79,-0.99,-1.03
"and",0.90,0.68,-1.03,-1.08
"kasich",0.89,0.70,-1.08,-1.13
"are",0.88,0.55,-1.00,-1.05
"going",0.89,0.66,-1.09,-1.20
"to",0.88,0.41,-0.99,-1.10
"collude",0.86,0.39,-0.98,-1.06
"in",0.86,0.33,-0.95,-1.03
"order",0.88,0.52,-1.07,-1.22
"to",0.87,0.29,-0.96,-1.11
"keep",0.82,0.10,-0.84,-0.96
"me",0.89,0.49,-1.05,-1.27
"from",0.85,0.28,-0.91,-1.09
"getting",0.87,0.42,-1.00,-1.21
"the",0.86,0.28,-0.94,-1.09
"republican",0.87,0.32,-0.96,-1.16
"nomination",0.85,0.21,-0.89,-1.07
".",0.85,0.13,-0.86,-1.00
"desperation",0.83,0.13,-0.85,-1.00
"!",0.92,0.58,-1.13,-1.43
handle: HillaryClinton
"knowing",0.48,-0.09,0.05,0.04
"her",0.49,-0.08,0.06,0.01
"was",0.60,0.10,-0.06,-0.13
"one",0.49,-0.11,0.03,0.00
"of",0.43,-0.20,0.10,0.06
"hillary",0.24,-0.49,0.39,0.35
"’",0.17,-0.72,0.56,0.43
"s",0.16,-0.78,0.62,0.36
"greatest",0.18,-0.67,0.65,0.30
"gifts",0.17,-0.65,0.71,0.32
"to",0.11,-0.86,0.88,0.49
"me",0.28,-0.31,0.62,0.07
".",0.23,-0.37,0.62,0.20
"”",0.11,-0.75,0.96,0.58
"—",0.06,-1.20,1.35,0.94
"@billclinton",0.04,-1.54,1.64,1.15
"on",0.04,-1.64,1.85,1.25
"hillary",0.03,-1.91,2.12,1.43
"’",0.03,-2.12,2.29,1.47
"s",0.03,-2.13,2.34,1.36
"mother",0.03,-2.30,2.53,1.47
",",0.03,-2.26,2.59,1.41
"dorothy",0.03,-2.27,2.70,1.45
"rodham",0.03,-2.34,2.80,1.50
""",0.03,-2.58,2.99,1.65
handle: HillaryClinton
"“",0.49,-0.16,0.02,-0.05
"she",0.65,0.12,-0.14,-0.24
"’",0.59,-0.09,-0.12,-0.21
"s",0.64,-0.13,-0.20,-0.35
"a",0.57,-0.31,-0.13,-0.31
"changemaker",0.46,-0.50,-0.01,-0.16
".",0.39,-0.58,0.09,-0.08
"that",0.34,-0.64,0.19,-0.02
"’",0.25,-0.87,0.33,0.07
"s",0.26,-0.93,0.36,-0.01
"what",0.16,-1.20,0.57,0.16
"she",0.23,-0.85,0.52,0.03
"does",0.30,-0.65,0.43,-0.08
".",0.23,-0.73,0.48,0.05
