username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheEllenShow;2018-03-23 17:47;331;3376;"Thank you, thank you, thank you to everyone donating to @EDWildlifeFund . I'm reading your stories and each one means so much to me. We're gonna do something amazing together. #WeNeedGorillas http:// ellen.tv/2IOZe4A";;@EDWildlifeFund;#WeNeedGorillas;"977346177547956226";https://twitter.com/TheEllenShow/status/977346177547956226
TheEllenShow;2018-03-23 17:12;1038;9705;"I'm so proud of San Francisco. Let's all go next weekend. http:// ellen.tv/2GfR2fc";;;;"977337421917388800";https://twitter.com/TheEllenShow/status/977337421917388800
TheEllenShow;2018-03-23 16:09;659;4652;"There are so many wonderful GIFs to be grateful for. Thank goodness it’s Thank GIF It’s Friday. #TGIF pic.twitter.com/63pA3LLMdR";;;#TGIF;"977321440390230016";https://twitter.com/TheEllenShow/status/977321440390230016
TheEllenShow;2018-03-23 15:17;167;2088;". @JohnCena told me about getting surprisingly naked in his new movie. http:// ellen.tv/2pzpGWU";;@JohnCena;;"977308498131218432";https://twitter.com/TheEllenShow/status/977308498131218432
TheEllenShow;2018-03-23 14:35;154;1705;"I couldn’t be more grateful to @BradPaisley for putting together this concert. I hope you can make it. Promo Code: BradSBBowl http:// ellen.tv/2IL22jk";;@BradPaisley;;"977297804979613696";https://twitter.com/TheEllenShow/status/977297804979613696
TheEllenShow;2018-03-23 13:52;131;1604;"I sent Jillian to get some things for me from @Walmart , but the truth is, she was there to get something for herself. #ThanksSponsor http:// ellen.tv/2pzVevU";;@Walmart;#ThanksSponsor;"977287057352540160";https://twitter.com/TheEllenShow/status/977287057352540160
TheEllenShow;2018-03-23 13:32;40;375;"No one's ever made a handsomer awkward prom photo.";;;;"977281861020893184";https://twitter.com/TheEllenShow/status/977281861020893184
TheEllenShow;2018-03-23 13:01;480;3737;"Getting to talk to Sigourney Weaver about gorillas was a dream come true for me. @EDWildlifeFund pic.twitter.com/w5MCZ0AVK2";;@EDWildlifeFund;;"977274174694502400";https://twitter.com/TheEllenShow/status/977274174694502400
TheEllenShow;2018-03-23 12:23;706;4064;". @JheneAiko and @RaeSremmurd just brought the house down. http:// ellen.tv/2pAd16W";;@JheneAiko @RaeSremmurd;;"977264610905485314";https://twitter.com/TheEllenShow/status/977264610905485314
TheEllenShow;2018-03-23 11:35;302;3437;"Happy birthday to the real Chef Curry. @AyeshaCurry";;@AyeshaCurry;;"977252563245412352";https://twitter.com/TheEllenShow/status/977252563245412352
TheEllenShow;2018-03-23 11:04;1309;6167;"Kaylee is on #LittleBigShots with Pentatonix this Sunday at 8/7c on @NBC . Hallelujah! @PTXofficial pic.twitter.com/4BMfEX6Ah5";;@NBC @PTXofficial;#LittleBigShots;"977244588602638337";https://twitter.com/TheEllenShow/status/977244588602638337
TheEllenShow;2018-03-23 10:27;2661;15245;". @JohnCena didn’t get to go to prom... that is, until today. pic.twitter.com/ge1wwG8ceA";;@JohnCena;;"977235356058710016";https://twitter.com/TheEllenShow/status/977235356058710016
TheEllenShow;2018-03-22 16:36;426;4418;". @EllenPompeo ’s new #GreysAnatomy spinoff #Station19 premieres tonight 9|8c on ABC. I don’t know about you, but I’m gonna be stationed right in front of my TV. #TGIT";;@EllenPompeo;#GreysAnatomy #Station19 #TGIT;"976965881421971456";https://twitter.com/TheEllenShow/status/976965881421971456
TheEllenShow;2018-03-22 15:46;336;2681;"Support gorillas. Get a great t-shirt. Look and feel amazing. #WeNeedGorillas @EDWildlifeFund http:// ellen.tv/2pzojYu pic.twitter.com/eAZ1EU8N3M";;@EDWildlifeFund;#WeNeedGorillas;"976953358018781184";https://twitter.com/TheEllenShow/status/976953358018781184
TheEllenShow;2018-03-22 15:08;293;2841;"I wish I could have these two on my show 8 days a week. http:// ellen.tv/2G50yi9";;;;"976943646959284225";https://twitter.com/TheEllenShow/status/976943646959284225
TheEllenShow;2018-03-22 13:37;2282;11440;"These kids from Marjory Stoneman Douglas see a need for change in our world, and they’re doing something about it. @delaneytarr @SzZeif #MarchForOurLives pic.twitter.com/e7lEQgCCCr";;@delaneytarr @SzZeif;#MarchForOurLives;"976920852296953856";https://twitter.com/TheEllenShow/status/976920852296953856
TheEllenShow;2018-03-22 13:08;586;9103;"Happy birthday, @RWitherspoon ! We go way back together. pic.twitter.com/i2v8WvDKwB";;@RWitherspoon;;"976913603289759744";https://twitter.com/TheEllenShow/status/976913603289759744
TheEllenShow;2018-03-22 12:21;407;4200;". @Adaripp has some bold opinions. Like seriously. pic.twitter.com/hrAZsypOKu";;@Adaripp;;"976901595794305024";https://twitter.com/TheEllenShow/status/976901595794305024
TheEllenShow;2018-03-22 11:02;3092;14106;". @EllenPompeo had some impactful words about women in the workplace. I really loved this interview. pic.twitter.com/kW2rC5KpEQ";;@EllenPompeo;;"976881700310540290";https://twitter.com/TheEllenShow/status/976881700310540290
TheEllenShow;2018-03-21 17:03;241;3362;"Are you ready for my new show, #SplittingUpTogether ? It premieres this Tuesday! pic.twitter.com/P0ap47KvpS";;;#SplittingUpTogether;"976610395795333120";https://twitter.com/TheEllenShow/status/976610395795333120
TheEllenShow;2018-03-21 16:54;1;47;"Hey, sign my name too!";;;;"976607933617225728";https://twitter.com/TheEllenShow/status/976607933617225728
TheEllenShow;2018-03-21 15:50;1637;9324;"I’m so sorry. It never rains in L.A. Clearly someone forgot to close your dressing room skylight.";;;;"976591890928746497";https://twitter.com/TheEllenShow/status/976591890928746497
TheEllenShow;2018-03-21 13:47;115;1835;"I love watching Jeannie surprise amazing people. This episode of Life’s First-Evers is incredible. #FirstEver #ThanksSponsor http:// ellen.tv/2IIVWQ6";;;#FirstEver #ThanksSponsor;"976560983010242560";https://twitter.com/TheEllenShow/status/976560983010242560
