source,text,created_at
Twitter for iPhone,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!… https://t.co/onRpEvzHrW,11-08-2016 06:42:36
Twitter for iPhone,Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids Michigan now. Watch NH rally here:… https://t.co/hP88anrfgk,11-08-2016 03:43:54
Twitter for iPhone,Big news to share in New Hampshire tonight! Polls looking great! See you soon.,11-08-2016 00:17:57
Twitter for iPhone,Today in Florida I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw,11-08-2016 00:16:15
Twitter for iPhone,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst… https://t.co/zcH9crFIKM,11-08-2016 00:08:28
Periscope,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,11-07-2016 23:28:48
Twitter for iPhone,Hey Missouri let's defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!,11-07-2016 22:21:53
Twitter for iPhone,'America must decide between failed policies or fresh perspective a corrupt system or an outsider'https://t.co/ll8QIW9SqW,11-07-2016 21:37:25
Twitter for iPhone,'What I Like About Trump ... and Why You Need to Vote for Him'https://t.co/6rVuDUehZq,11-07-2016 21:35:14
Twitter for iPhone,'Why Trump' https://t.co/RpwIYB7aOV,11-07-2016 21:32:26
Twitter for iPhone,I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!Watch:… https://t.co/jZzfqUZNYh,11-07-2016 21:03:13
Twitter for iPhone,On my way! https://t.co/6L2ILD6r8h,11-07-2016 19:31:54
Twitter for iPhone,Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y,11-07-2016 19:30:12
